time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451300000	9.83264	20.9219	4.79927	3.32142	0.542235	lidar	1.68184	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.6022	20.91	4.75839	3.32579	0.505434	radar	2.49404	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40917	20.8573	4.69816	3.35553	0.511061	lidar	0.994156	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18947	20.8154	4.68488	3.37778	0.508173	radar	1.47368	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89652	20.7825	4.78263	3.38954	0.492895	lidar	2.33941	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.6827	20.7039	4.76011	3.42239	0.502231	radar	4.36859	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40569	20.6199	4.83456	3.44863	0.501919	lidar	2.80315	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17783	20.5403	4.83701	3.47636	0.506031	radar	0.0620692	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93494	20.4599	4.85972	3.49935	0.50335	lidar	0.144049	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71865	20.3746	4.86385	3.5296	0.515189	radar	3.42174	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41024	20.3154	4.97944	3.53229	0.490419	lidar	3.59643	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17955	20.2187	4.97441	3.55444	0.485509	radar	0.246214	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91458	20.1354	5.02473	3.56673	0.472858	lidar	0.762945	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.69116	20.0433	5.00369	3.58347	0.462673	radar	0.556099	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.44255	19.9516	5.03194	3.59696	0.452748	lidar	0.403194	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.22727	19.8579	5.00994	3.61413	0.447163	radar	2.89459	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.96371	19.7639	5.06079	3.62214	0.432274	lidar	0.922134	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.7331	19.6199	5.10512	3.65621	0.451823	radar	1.81448	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55548	19.4978	5.04238	3.6845	0.458454	lidar	1.36218	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.35366	19.3494	5.03777	3.716	0.46865	radar	1.71572	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14042	19.2477	5.0244	3.72688	0.456567	lidar	1.99214	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.95132	19.1349	4.95912	3.73947	0.440112	radar	4.70474	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
